brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietravel Airlines,754380,06:25,,,07:45,1h 20m,HAN,DAD
VietJet Air,671220,20:15,,,21:35,1h 20m,HAN,DAD
VietJet Air,671220,20:50,,,22:10,1h 20m,HAN,DAD
Bamboo Airways,809980,16:15,,,17:40,1h 25m,HAN,DAD
Vietravel Airlines,859320,16:50,,,18:10,1h 20m,HAN,DAD
VietJet Air,891990,05:55,,,07:10,1h 15m,HAN,DAD
VietJet Air,891990,09:30,,,10:50,1h 20m,HAN,DAD
VietJet Air,912733,19:45,,,21:05,1h 20m,HAN,DAD
Vietnam Airlines,1070620,21:05,,,22:20,1h 15m,HAN,DAD
VietJet Air,1126620,14:20,,,15:40,1h 20m,HAN,DAD
