brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
SUN PhuQuoc AIRWAYS,1580353,07:45,,,09:50,2h 5m,HAN,PQC
VietJet Air,1339296,06:00,,,08:05,2h 5m,HAN,PQC
VietJet Air,1339296,15:30,,,17:35,2h 5m,HAN,PQC
VietJet Air,1339296,17:40,,,19:45,2h 5m,HAN,PQC
Vietnam Airlines,1409915,07:00,,,09:15,2h 15m,HAN,PQC
Vietnam Airlines,1674585,12:30,,,14:40,2h 10m,HAN,PQC
SUN PhuQuoc AIRWAYS,1912655,13:20,,,15:25,2h 5m,HAN,PQC
SUN PhuQuoc AIRWAYS,1936480,09:25,,,11:30,2h 5m,HAN,PQC
VietJet Air,2133446,12:25,,,14:30,2h 5m,HAN,PQC
Vietravel Airlines,2237500,10:50,,,18:25,7h 35m,HAN,PQC
