brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,trip_to,id
VietJet Air,671220,20:50,,,22:10,1h 20m,HAN,DAD,Đà Nẵng,59
Bamboo Airways,809980,16:15,,,17:40,1h 25m,HAN,DAD,Đà Nẵng,60
Vietravel Airlines,859320,16:50,,,18:10,1h 20m,HAN,DAD,Đà Nẵng,61
VietJet Air,891990,05:55,,,07:10,1h 15m,HAN,DAD,Đà Nẵng,62
VietJet Air,891990,09:30,,,10:50,1h 20m,HAN,DAD,Đà Nẵng,63
VietJet Air,912733,19:45,,,21:05,1h 20m,HAN,DAD,Đà Nẵng,64
Vietnam Airlines,1070620,21:05,,,22:20,1h 15m,HAN,DAD,Đà Nẵng,65
VietJet Air,1126620,14:20,,,15:40,1h 20m,HAN,DAD,Đà Nẵng,66
Vietravel Airlines,708840,06:25,,,07:45,1h 20m,HAN,DAD,Đà Nẵng,67
Vietravel Airlines,868230,16:50,,,18:10,1h 20m,HAN,DAD,Đà Nẵng,68
VietJet Air,874170,05:55,,,07:10,1h 15m,HAN,DAD,Đà Nẵng,69
VietJet Air,874170,09:55,,,11:15,1h 20m,HAN,DAD,Đà Nẵng,70
VietJet Air,874170,10:30,,,11:50,1h 20m,HAN,DAD,Đà Nẵng,71
VietJet Air,874170,19:05,,,20:25,1h 20m,HAN,DAD,Đà Nẵng,72
VietJet Air,874170,19:45,,,21:05,1h 20m,HAN,DAD,Đà Nẵng,73
VietJet Air,874170,20:15,,,21:35,1h 20m,HAN,DAD,Đà Nẵng,74
Bamboo Airways,896978,16:15,,,17:40,1h 25m,HAN,DAD,Đà Nẵng,75
VietJet Air,912733,20:50,,,22:10,1h 20m,HAN,DAD,Đà Nẵng,76
Vietravel Airlines,755370,06:25,,,07:45,1h 20m,HAN,DAD,Đà Nẵng,77
Bamboo Airways,809980,16:15,,,17:40,1h 25m,HAN,DAD,Đà Nẵng,78
Bamboo Airways,896978,11:50,,,13:15,1h 25m,HAN,DAD,Đà Nẵng,79
VietJet Air,900409,05:55,,,07:10,1h 15m,HAN,DAD,Đà Nẵng,80
VietJet Air,900409,09:30,,,10:50,1h 20m,HAN,DAD,Đà Nẵng,81
VietJet Air,900409,09:55,,,11:15,1h 20m,HAN,DAD,Đà Nẵng,82
VietJet Air,900409,10:30,,,11:50,1h 20m,HAN,DAD,Đà Nẵng,83
VietJet Air,900409,16:25,,,17:45,1h 20m,HAN,DAD,Đà Nẵng,84
VietJet Air,900409,19:05,,,20:25,1h 20m,HAN,DAD,Đà Nẵng,85
VietJet Air,900409,19:45,,,21:05,1h 20m,HAN,DAD,Đà Nẵng,86
VietJet Air,2474016,22:10,,,14:05,15h 55m,HAN,HUI,Unknown,87
VietJet Air,2474016,22:10,,,18:00,19h 50m,HAN,HUI,Unknown,88
VietJet Air,2474016,18:00,,,14:05,20h 5m,HAN,HUI,Unknown,89
VietJet Air,2474016,17:45,,,14:05,20h 20m,HAN,HUI,Unknown,90
VietJet Air,2474016,16:00,,,14:05,22h 5m,HAN,HUI,Unknown,91
VietJet Air,2474016,22:10,,,21:50,23h 40m,HAN,HUI,Unknown,92
VietJet Air,2474016,17:45,,,18:00,24h 15m,HAN,HUI,Unknown,93
VietJet Air,2546951,05:10,,,14:15,9h 5m,HAN,HUI,Unknown,94
VietJet Air,2588531,15:20,,,18:00,26h 40m,HAN,HUI,Unknown,95
VietJet Air,2593577,11:40,,,18:00,6h 20m,HAN,HUI,Unknown,96
Vietnam Airlines,1071615,06:00,,,07:15,1h 15m,HAN,HUI,Unknown,97
VietJet Air,678150,10:10,,,11:20,1h 10m,HAN,HUI,Unknown,98
VietJet Air,678150,19:15,,,20:30,1h 15m,HAN,HUI,Unknown,99
Vietnam Airlines,1144250,20:05,,,21:15,1h 10m,HAN,HUI,Unknown,100
Vietnam Airlines,1144250,14:40,,,15:55,1h 15m,HAN,HUI,Unknown,101
Vietnam Airlines,1144250,15:00,,,16:15,1h 15m,HAN,HUI,Unknown,102
Vietnam Airlines,1401955,16:30,,,17:45,1h 15m,HAN,HUI,Unknown,103
VietJet Air,2248560,22:50,,,14:05,15h 15m,HAN,HUI,Unknown,104
VietJet Air,2248560,22:50,,,18:00,19h 10m,HAN,HUI,Unknown,105
VietJet Air,2468076,22:10,,,12:25,14h 15m,HAN,HUI,Unknown,106
Vietnam Airlines,1073605,06:00,,,07:15,1h 15m,HAN,HUI,Unknown,107
VietJet Air,678150,10:10,,,11:20,1h 10m,HAN,HUI,Unknown,108
Vietnam Airlines,1073605,20:05,,,21:25,1h 20m,HAN,HUI,Unknown,109
Vietnam Airlines,1187035,20:05,,,21:15,1h 10m,HAN,HUI,Unknown,110
Vietnam Airlines,1225840,17:00,,,18:15,1h 15m,HAN,HUI,Unknown,111
Vietnam Airlines,1400960,16:30,,,17:45,1h 15m,HAN,HUI,Unknown,112
Vietnam Airlines,2634747,20:05,,,21:15,1h 10m,HAN,HUI,Unknown,113
Vietnam Airlines,2634747,06:00,,,07:15,1h 15m,HAN,HUI,Unknown,114
Vietnam Airlines,2634747,16:30,,,17:45,1h 15m,HAN,HUI,Unknown,115
Vietnam Airlines,2634747,17:00,,,18:15,1h 15m,HAN,HUI,Unknown,116
SUN PhuQuoc AIRWAYS,1580353,07:45,,,09:50,2h 5m,HAN,PQC,Unknown,117
VietJet Air,1339296,06:00,,,08:05,2h 5m,HAN,PQC,Unknown,118
VietJet Air,1339296,15:30,,,17:35,2h 5m,HAN,PQC,Unknown,119
VietJet Air,1339296,17:40,,,19:45,2h 5m,HAN,PQC,Unknown,120
Vietnam Airlines,1409915,07:00,,,09:15,2h 15m,HAN,PQC,Unknown,121
Vietnam Airlines,1674585,12:30,,,14:40,2h 10m,HAN,PQC,Unknown,122
SUN PhuQuoc AIRWAYS,1912655,13:20,,,15:25,2h 5m,HAN,PQC,Unknown,123
SUN PhuQuoc AIRWAYS,1936480,09:25,,,11:30,2h 5m,HAN,PQC,Unknown,124
VietJet Air,2133446,12:25,,,14:30,2h 5m,HAN,PQC,Unknown,125
Vietravel Airlines,2237500,10:50,,,18:25,7h 35m,HAN,PQC,Unknown,126
SUN PhuQuoc AIRWAYS,1722221,09:25,,,11:30,2h 5m,HAN,PQC,Unknown,127
VietJet Air,1339296,06:00,,,08:05,2h 5m,HAN,PQC,Unknown,128
Vietnam Airlines,1466630,07:00,,,09:15,2h 15m,HAN,PQC,Unknown,129
Vietnam Airlines,1501455,12:30,,,14:40,2h 10m,HAN,PQC,Unknown,130
VietJet Air,1576905,15:30,,,17:35,2h 5m,HAN,PQC,Unknown,131
SUN PhuQuoc AIRWAYS,1722221,07:45,,,09:50,2h 5m,HAN,PQC,Unknown,132
VietJet Air,1837032,17:40,,,19:45,2h 5m,HAN,PQC,Unknown,133
SUN PhuQuoc AIRWAYS,1925700,13:20,,,15:25,2h 5m,HAN,PQC,Unknown,134
VietJet Air,2133446,12:25,,,14:30,2h 5m,HAN,PQC,Unknown,135
Vietnam Airlines,4549224,07:00,,,09:15,2h 15m,HAN,PQC,Unknown,136
Vietnam Airlines,1621850,22:00,,,00:10,2h 10m,HAN,SGN,Unknown,137
Bamboo Airways,1447964,20:30,,,22:45,2h 15m,HAN,SGN,Unknown,138
Bamboo Airways,1447964,22:35,,,00:50,2h 15m,HAN,SGN,Unknown,139
Vietravel Airlines,1499850,16:10,,,18:25,2h 15m,HAN,SGN,Unknown,140
Vietravel Airlines,1499850,20:30,,,22:45,2h 15m,HAN,SGN,Unknown,141
Vietravel Airlines,1499850,21:00,,,23:20,2h 20m,HAN,SGN,Unknown,142
VietJet Air,1556280,11:40,,,13:50,2h 10m,HAN,SGN,Unknown,143
VietJet Air,1561136,17:10,,,19:20,2h 10m,HAN,SGN,Unknown,144
VietJet Air,1561136,17:20,,,19:30,2h 10m,HAN,SGN,Unknown,145
VietJet Air,1561136,17:45,,,19:55,2h 10m,HAN,SGN,Unknown,146
Vietnam Airlines,1619860,22:00,,,00:10,2h 10m,HAN,SGN,Unknown,147
