brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
"Vietravel Airlines, VietJet Air",1556380,18:55,,,11:20,16h 25m,DAD,HUI
"Bamboo Airways, VietJet Air",1585128,18:20,,,11:20,17h 0m,DAD,HUI
"Vietnam Airlines, VietJet Air",1642355,22:55,,,11:20,12h 25m,DAD,HUI
"Vietnam Airlines, VietJet Air",1642355,22:55,,,20:30,21h 35m,DAD,HUI
VietJet Air,1819987,22:40,,,11:20,12h 40m,DAD,HUI
"Vietnam Airlines, VietJet Air",1895085,18:05,,,11:20,17h 15m,DAD,HUI
"Vietnam Airlines, VietJet Air",1895085,17:30,,,11:20,17h 50m,DAD,HUI
VietJet Air,2038777,05:45,,,11:20,5h 35m,DAD,HUI
"Vietnam Airlines, VietJet Air",2173981,06:05,,,11:20,5h 15m,DAD,HUI
"Vietravel Airlines, Vietnam Airlines",2249320,08:30,,,21:15,12h 45m,DAD,HUI
