brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietnam Airlines,1128330,07:35,,,08:40,1h 5m,SGN,TBB
Vietnam Airlines,3327280,06:30,,,13:45,7h 15m,SGN,TBB
Vietnam Airlines,3481882,06:40,,,13:45,7h 5m,SGN,TBB
Vietnam Airlines,3640270,06:00,,,13:45,7h 45m,SGN,TBB
Vietnam Airlines,3684535,07:00,,,13:45,6h 45m,SGN,TBB
Vietnam Airlines,3921295,07:25,,,13:45,6h 20m,SGN,TBB
Vietnam Airlines,3925775,12:00,,,13:45,25h 45m,SGN,TBB
Vietnam Airlines,4096465,08:00,,,13:45,5h 45m,SGN,TBB
Vietnam Airlines,4375017,11:00,,,13:45,26h 45m,SGN,TBB
