brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
VietJet Air,1585090,23:00,,,14:30,15h 30m,SGN,VCA
VietJet Air,1585090,21:25,,,14:30,17h 5m,SGN,VCA
VietJet Air,1627604,20:40,,,14:30,17h 50m,SGN,VCA
"Vietravel Airlines, VietJet Air",1775170,19:10,,,14:30,19h 20m,SGN,VCA
VietJet Air,1809820,18:15,,,14:30,20h 15m,SGN,VCA
VietJet Air,1809820,15:25,,,14:30,23h 5m,SGN,VCA
VietJet Air,2035395,07:20,,,14:30,7h 10m,SGN,VCA
"VietJet Air, Vietnam Airlines",2079907,23:00,,,14:55,15h 55m,SGN,VCA
"Vietravel Airlines, VietJet Air",2100735,09:00,,,14:30,5h 30m,SGN,VCA
"VietJet Air, Vietnam Airlines",2110641,05:50,,,14:10,8h 20m,SGN,VCA
