brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Bamboo Airways,896978,06:15,,,07:40,1h 25m,SGN,DAD
Bamboo Airways,993975,10:05,,,11:30,1h 25m,SGN,DAD
Vietnam Airlines,1231810,06:05,,,07:25,1h 20m,SGN,DAD
Vietnam Airlines,1231810,20:55,,,22:15,1h 20m,SGN,DAD
Vietnam Airlines,1244773,07:00,,,08:20,1h 20m,SGN,DAD
Vietnam Airlines,1244773,18:55,,,20:15,1h 20m,SGN,DAD
Vietnam Airlines,1384045,17:05,,,18:20,1h 15m,SGN,DAD
Vietnam Airlines,1384045,15:15,,,16:35,1h 20m,SGN,DAD
Vietnam Airlines,1384045,16:20,,,17:40,1h 20m,SGN,DAD
Vietnam Airlines,1384045,16:45,,,18:05,1h 20m,SGN,DAD
