brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
VietJet Air,3167958,23:20,,,14:50,15h 30m,SGN,CXR
VietJet Air,3389798,06:15,,,14:50,32h 35m,SGN,CXR
VietJet Air,3389798,05:30,,,14:50,33h 20m,SGN,CXR
VietJet Air,3389798,05:20,,,14:50,33h 30m,SGN,CXR
VietJet Air,3819097,13:20,,,14:50,25h 30m,SGN,CXR
Vietnam Airlines,4144735,06:00,,,18:40,12h 40m,SGN,CXR
VietJet Air,4162376,09:00,,,14:50,29h 50m,SGN,CXR
Vietnam Airlines,4189000,07:00,,,18:40,11h 40m,SGN,CXR
Vietnam Airlines,4430240,12:00,,,18:40,6h 40m,SGN,CXR
Vietnam Airlines,4586806,06:00,,,15:40,9h 40m,SGN,CXR
