brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
VietJet Air,2474016,22:10,,,14:05,15h 55m,HAN,HUI
VietJet Air,2474016,22:10,,,18:00,19h 50m,HAN,HUI
VietJet Air,2474016,18:00,,,14:05,20h 5m,HAN,HUI
VietJet Air,2474016,17:45,,,14:05,20h 20m,HAN,HUI
VietJet Air,2474016,16:00,,,14:05,22h 5m,HAN,HUI
VietJet Air,2474016,22:10,,,21:50,23h 40m,HAN,HUI
VietJet Air,2474016,17:45,,,18:00,24h 15m,HAN,HUI
VietJet Air,2546951,05:10,,,14:15,9h 5m,HAN,HUI
VietJet Air,2588531,15:20,,,18:00,26h 40m,HAN,HUI
VietJet Air,2593577,11:40,,,18:00,6h 20m,HAN,HUI
