brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
VietJet Air,1777150,22:40,,,14:30,15h 50m,SGN,VCA
VietJet Air,1784080,23:20,,,14:30,15h 10m,SGN,VCA
VietJet Air,1784080,21:25,,,14:30,17h 5m,SGN,VCA
VietJet Air,1798930,07:20,,,14:30,7h 10m,SGN,VCA
VietJet Air,1798930,06:30,,,14:30,8h 0m,SGN,VCA
"Bamboo Airways, VietJet Air",1803918,06:15,,,14:30,8h 15m,SGN,VCA
"Vietravel Airlines, VietJet Air",1965250,09:00,,,14:30,5h 30m,SGN,VCA
"Vietravel Airlines, VietJet Air",1972180,19:10,,,14:30,19h 20m,SGN,VCA
VietJet Air,2004850,18:15,,,14:30,20h 15m,SGN,VCA
VietJet Air,2025593,20:40,,,14:30,17h 50m,SGN,VCA
