brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination
Vietnam Airlines,1038780,07:35,,,08:40,1h 5m,SGN,TBB
VietJet Air,903606,11:30,,,12:40,1h 10m,SGN,TBB
Vietnam Airlines,3661849,07:00,,,13:45,6h 45m,SGN,TBB
Vietnam Airlines,3789955,07:05,,,13:45,6h 40m,SGN,TBB
Vietnam Airlines,3789955,06:40,,,13:45,7h 5m,SGN,TBB
Vietnam Airlines,3854680,07:00,,,13:45,6h 45m,SGN,TBB
Vietnam Airlines,3944180,07:25,,,13:45,6h 20m,SGN,TBB
Vietnam Airlines,3951830,06:00,,,13:45,7h 45m,SGN,TBB
Vietnam Airlines,4096465,08:00,,,13:45,5h 45m,SGN,TBB
Vietnam Airlines,4096465,11:00,,,13:45,26h 45m,SGN,TBB
