brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietravel Airlines,713.790 VND/khách,17:20,09-12-2025,18:25,09-12-2025,1h 5m,SGN,PQC
VietJet Air,678.302 VND/khách,05:50,09-12-2025,06:50,09-12-2025,1h 0m,SGN,PQC
Vietravel Airlines,835.560 VND/khách,13:25,09-12-2025,14:30,09-12-2025,1h 5m,SGN,PQC
Vietnam Airlines,861.513 VND/khách,05:40,09-12-2025,06:40,09-12-2025,1h 0m,SGN,PQC
VietJet Air,903.606 VND/khách,07:30,09-12-2025,08:30,09-12-2025,1h 0m,SGN,PQC
VietJet Air,903.606 VND/khách,15:15,09-12-2025,16:15,09-12-2025,1h 0m,SGN,PQC
SUN PhuQuoc AIRWAYS,959.442 VND/khách,15:25,09-12-2025,16:25,09-12-2025,1h 0m,SGN,PQC
SUN PhuQuoc AIRWAYS,1.031.940 VND/khách,10:35,09-12-2025,11:35,09-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.080.272 VND/khách,14:00,09-12-2025,15:00,09-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.080.272 VND/khách,15:20,09-12-2025,16:20,09-12-2025,1h 0m,SGN,PQC
