brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietnam Airlines,1.038.780 VND/khách,07:35,09-12-2025,08:40,09-12-2025,1h 5m,SGN,TBB
VietJet Air,903.606 VND/khách,11:30,09-12-2025,12:40,09-12-2025,1h 10m,SGN,TBB
Vietnam Airlines,3.661.849 VND/khách,07:00,09-12-2025,13:45,09-12-2025,6h 45m,SGN,TBB
Vietnam Airlines,3.789.955 VND/khách,07:05,09-12-2025,13:45,09-12-2025,6h 40m,SGN,TBB
Vietnam Airlines,3.789.955 VND/khách,06:40,09-12-2025,13:45,09-12-2025,7h 5m,SGN,TBB
Vietnam Airlines,3.854.680 VND/khách,07:00,09-12-2025,13:45,09-12-2025,6h 45m,SGN,TBB
Vietnam Airlines,3.944.180 VND/khách,07:25,09-12-2025,13:45,09-12-2025,6h 20m,SGN,TBB
Vietnam Airlines,3.951.830 VND/khách,06:00,09-12-2025,13:45,09-12-2025,7h 45m,SGN,TBB
Vietnam Airlines,4.096.465 VND/khách,08:00,09-12-2025,13:45,09-12-2025,5h 45m,SGN,TBB
Vietnam Airlines,4.096.465 VND/khách,11:00,09-12-2025,13:45,09-12-2025,26h 45m,SGN,TBB
