brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Bamboo Airways,971.976 VND/khách,13:50,10-12-2025,15:30,10-12-2025,1h 40m,HAN,UIH
VietJet Air,1.121.450 VND/khách,07:10,10-12-2025,08:45,10-12-2025,1h 35m,HAN,UIH
Vietnam Airlines,1.205.940 VND/khách,11:20,10-12-2025,12:55,10-12-2025,1h 35m,HAN,UIH
Vietnam Airlines,3.327.007 VND/khách,11:20,10-12-2025,12:55,10-12-2025,1h 35m,HAN,UIH
VietJet Air,2.223.640 VND/khách,16:00,10-12-2025,18:55,10-12-2025,26h 55m,HAN,UIH
VietJet Air,2.245.711 VND/khách,15:55,10-12-2025,12:25,10-12-2025,20h 30m,HAN,UIH
VietJet Air,2.245.711 VND/khách,08:40,10-12-2025,12:25,10-12-2025,27h 45m,HAN,UIH
VietJet Air,2.360.226 VND/khách,22:10,10-12-2025,12:25,10-12-2025,14h 15m,HAN,UIH
VietJet Air,2.363.801 VND/khách,22:10,10-12-2025,18:55,10-12-2025,20h 45m,HAN,UIH
"Vietravel Airlines, VietJet Air",2.400.850 VND/khách,10:50,10-12-2025,18:55,10-12-2025,8h 5m,HAN,UIH
