brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,2.688.592 VND/khách,23:20,09-12-2025,07:40,09-12-2025,8h 20m,SGN,DLI
VietJet Air,2.688.592 VND/khách,23:20,09-12-2025,13:15,09-12-2025,13h 55m,SGN,DLI
VietJet Air,2.909.033 VND/khách,14:40,09-12-2025,13:15,09-12-2025,22h 35m,SGN,DLI
VietJet Air,2.910.432 VND/khách,05:20,09-12-2025,13:15,09-12-2025,31h 55m,SGN,DLI
VietJet Air,3.024.947 VND/khách,13:20,09-12-2025,07:40,09-12-2025,18h 20m,SGN,DLI
VietJet Air,3.024.947 VND/khách,13:20,09-12-2025,13:15,09-12-2025,23h 55m,SGN,DLI
VietJet Air,3.024.947 VND/khách,06:15,09-12-2025,13:15,09-12-2025,31h 0m,SGN,DLI
VietJet Air,3.339.731 VND/khách,08:30,09-12-2025,13:15,09-12-2025,28h 45m,SGN,DLI
Vietnam Airlines,4.094.475 VND/khách,07:00,09-12-2025,13:55,09-12-2025,6h 55m,SGN,DLI
Vietnam Airlines,4.191.625 VND/khách,06:00,09-12-2025,13:55,09-12-2025,7h 55m,SGN,DLI
