brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,1.585.090 VND/khách,23:00,09-12-2025,14:30,09-12-2025,15h 30m,SGN,VCA
VietJet Air,1.585.090 VND/khách,21:25,09-12-2025,14:30,09-12-2025,17h 5m,SGN,VCA
VietJet Air,1.627.604 VND/khách,20:40,09-12-2025,14:30,09-12-2025,17h 50m,SGN,VCA
"Vietravel Airlines, VietJet Air",1.775.170 VND/khách,19:10,09-12-2025,14:30,09-12-2025,19h 20m,SGN,VCA
VietJet Air,1.809.820 VND/khách,18:15,09-12-2025,14:30,09-12-2025,20h 15m,SGN,VCA
VietJet Air,1.809.820 VND/khách,15:25,09-12-2025,14:30,09-12-2025,23h 5m,SGN,VCA
VietJet Air,2.035.395 VND/khách,07:20,09-12-2025,14:30,09-12-2025,7h 10m,SGN,VCA
"VietJet Air, Vietnam Airlines",2.079.907 VND/khách,23:00,09-12-2025,14:55,09-12-2025,15h 55m,SGN,VCA
"Vietravel Airlines, VietJet Air",2.100.735 VND/khách,09:00,09-12-2025,14:30,09-12-2025,5h 30m,SGN,VCA
"VietJet Air, Vietnam Airlines",2.110.641 VND/khách,05:50,09-12-2025,14:10,09-12-2025,8h 20m,SGN,VCA
