brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietnam Airlines,1.621.850 VND/khách,22:00,08-12-2025,00:10,08-12-2025,2h 10m,HAN,SGN
Bamboo Airways,1.447.964 VND/khách,20:30,08-12-2025,22:45,08-12-2025,2h 15m,HAN,SGN
Bamboo Airways,1.447.964 VND/khách,22:35,08-12-2025,00:50,08-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.499.850 VND/khách,16:10,08-12-2025,18:25,08-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.499.850 VND/khách,20:30,08-12-2025,22:45,08-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.499.850 VND/khách,21:00,08-12-2025,23:20,08-12-2025,2h 20m,HAN,SGN
VietJet Air,1.556.280 VND/khách,11:40,08-12-2025,13:50,08-12-2025,2h 10m,HAN,SGN
VietJet Air,1.561.136 VND/khách,17:10,08-12-2025,19:20,08-12-2025,2h 10m,HAN,SGN
VietJet Air,1.561.136 VND/khách,17:20,08-12-2025,19:30,08-12-2025,2h 10m,HAN,SGN
VietJet Air,1.561.136 VND/khách,17:45,08-12-2025,19:55,08-12-2025,2h 10m,HAN,SGN
