brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietravel Airlines,712.800 VND/khách,17:15,10-12-2025,18:25,10-12-2025,1h 10m,SGN,PQC
VietJet Air,652.410 VND/khách,12:50,10-12-2025,14:00,10-12-2025,1h 10m,SGN,PQC
VietJet Air,678.302 VND/khách,07:30,10-12-2025,08:30,10-12-2025,1h 0m,SGN,PQC
VietJet Air,678.302 VND/khách,12:10,10-12-2025,13:10,10-12-2025,1h 0m,SGN,PQC
Vietravel Airlines,835.560 VND/khách,13:25,10-12-2025,14:30,10-12-2025,1h 5m,SGN,PQC
Vietnam Airlines,861.513 VND/khách,05:40,10-12-2025,06:40,10-12-2025,1h 0m,SGN,PQC
VietJet Air,892.980 VND/khách,05:50,10-12-2025,06:50,10-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.080.272 VND/khách,09:55,10-12-2025,10:55,10-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.080.272 VND/khách,14:00,10-12-2025,15:00,10-12-2025,1h 0m,SGN,PQC
Vietnam Airlines,1.080.272 VND/khách,15:20,10-12-2025,16:20,10-12-2025,1h 0m,SGN,PQC
