brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietnam Airlines,1.619.860 VND/khách,22:00,09-12-2025,00:10,09-12-2025,2h 10m,HAN,SGN
VietJet Air,1.341.620 VND/khách,22:50,09-12-2025,01:00,09-12-2025,2h 10m,HAN,SGN
Vietravel Airlines,1.393.920 VND/khách,21:00,09-12-2025,23:20,09-12-2025,2h 20m,HAN,SGN
Bamboo Airways,1.447.964 VND/khách,22:35,09-12-2025,00:50,09-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.513.710 VND/khách,08:50,09-12-2025,11:05,09-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.513.710 VND/khách,10:05,09-12-2025,12:20,09-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.513.710 VND/khách,10:50,09-12-2025,13:05,09-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.513.710 VND/khách,16:10,09-12-2025,18:25,09-12-2025,2h 15m,HAN,SGN
Vietravel Airlines,1.513.710 VND/khách,20:30,09-12-2025,22:45,09-12-2025,2h 15m,HAN,SGN
VietJet Air,1.561.136 VND/khách,10:05,09-12-2025,12:10,09-12-2025,2h 5m,HAN,SGN
