brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,2.807.101 VND/khách,05:40,08-12-2025,19:30,08-12-2025,37h 50m,SGN,CXR
VietJet Air,2.910.432 VND/khách,23:20,08-12-2025,14:50,08-12-2025,15h 30m,SGN,CXR
VietJet Air,3.121.885 VND/khách,14:35,08-12-2025,19:30,08-12-2025,28h 55m,SGN,CXR
VietJet Air,3.121.885 VND/khách,10:00,08-12-2025,19:30,08-12-2025,33h 30m,SGN,CXR
VietJet Air,3.186.328 VND/khách,05:20,08-12-2025,14:50,08-12-2025,33h 30m,SGN,CXR
VietJet Air,3.339.731 VND/khách,14:35,08-12-2025,14:50,08-12-2025,24h 15m,SGN,CXR
VietJet Air,3.339.731 VND/khách,13:20,08-12-2025,14:50,08-12-2025,25h 30m,SGN,CXR
VietJet Air,3.339.731 VND/khách,09:00,08-12-2025,14:50,08-12-2025,29h 50m,SGN,CXR
Vietnam Airlines,3.365.218 VND/khách,22:30,08-12-2025,18:40,08-12-2025,20h 10m,SGN,CXR
Vietnam Airlines,3.458.748 VND/khách,22:30,08-12-2025,11:55,08-12-2025,13h 25m,SGN,CXR
