brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,1.549.602 VND/khách,22:40,10-12-2025,11:20,10-12-2025,12h 40m,DAD,HUI
VietJet Air,1.549.602 VND/khách,22:40,10-12-2025,20:30,10-12-2025,21h 50m,DAD,HUI
VietJet Air,1.584.100 VND/khách,05:45,10-12-2025,11:20,10-12-2025,5h 35m,DAD,HUI
"Bamboo Airways, VietJet Air",1.585.302 VND/khách,18:20,10-12-2025,11:20,10-12-2025,17h 0m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.651.462 VND/khách,22:55,10-12-2025,11:20,10-12-2025,12h 25m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.651.462 VND/khách,22:55,10-12-2025,20:30,10-12-2025,21h 35m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.731.759 VND/khách,06:35,10-12-2025,11:20,10-12-2025,4h 45m,DAD,HUI
"Vietravel Airlines, Vietnam Airlines",1.787.495 VND/khách,08:30,10-12-2025,21:25,10-12-2025,12h 55m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.793.747 VND/khách,20:20,10-12-2025,11:20,10-12-2025,15h 0m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.793.747 VND/khách,20:20,10-12-2025,20:30,10-12-2025,24h 10m,DAD,HUI
