brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietnam Airlines,1.071.615 VND/khách,06:00,09-12-2025,07:15,09-12-2025,1h 15m,HAN,HUI
VietJet Air,678.150 VND/khách,10:10,09-12-2025,11:20,09-12-2025,1h 10m,HAN,HUI
VietJet Air,678.150 VND/khách,19:15,09-12-2025,20:30,09-12-2025,1h 15m,HAN,HUI
Vietnam Airlines,1.144.250 VND/khách,20:05,09-12-2025,21:15,09-12-2025,1h 10m,HAN,HUI
Vietnam Airlines,1.144.250 VND/khách,14:40,09-12-2025,15:55,09-12-2025,1h 15m,HAN,HUI
Vietnam Airlines,1.144.250 VND/khách,15:00,09-12-2025,16:15,09-12-2025,1h 15m,HAN,HUI
Vietnam Airlines,1.401.955 VND/khách,16:30,09-12-2025,17:45,09-12-2025,1h 15m,HAN,HUI
VietJet Air,2.248.560 VND/khách,22:50,09-12-2025,14:05,09-12-2025,15h 15m,HAN,HUI
VietJet Air,2.248.560 VND/khách,22:50,09-12-2025,18:00,09-12-2025,19h 10m,HAN,HUI
VietJet Air,2.468.076 VND/khách,22:10,09-12-2025,12:25,09-12-2025,14h 15m,HAN,HUI
