brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
"Vietravel Airlines, VietJet Air",1.390.060 VND/khách,08:30,09-12-2025,20:30,09-12-2025,12h 0m,DAD,HUI
"Vietravel Airlines, VietJet Air",1.443.520 VND/khách,18:55,09-12-2025,11:20,09-12-2025,16h 25m,DAD,HUI
"Bamboo Airways, VietJet Air",1.498.130 VND/khách,18:20,09-12-2025,11:20,09-12-2025,17h 0m,DAD,HUI
VietJet Air,1.580.140 VND/khách,05:45,09-12-2025,11:20,09-12-2025,5h 35m,DAD,HUI
VietJet Air,1.580.140 VND/khách,05:45,09-12-2025,20:30,09-12-2025,14h 45m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.632.405 VND/khách,22:55,09-12-2025,11:20,09-12-2025,12h 25m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.758.770 VND/khách,06:35,09-12-2025,11:20,09-12-2025,4h 45m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.758.770 VND/khách,17:30,09-12-2025,11:20,09-12-2025,17h 50m,DAD,HUI
"Vietnam Airlines, VietJet Air",1.758.770 VND/khách,17:00,09-12-2025,11:20,09-12-2025,18h 20m,DAD,HUI
"Vietravel Airlines, Vietnam Airlines",1.785.515 VND/khách,08:30,09-12-2025,07:15,09-12-2025,22h 45m,DAD,HUI
