brand,price,number_of_seat,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Phuong Thu,345.000 VND /khách,Limo - Limousine 34 Phòng Đơn,17:00,08-12-2025,05:30,08-12-2025,05:30,Bến Xe Miền Đông - Quầy vé 13,Bến xe Kon Tum
Nhat Tan,402.500 VND /khách,VIP - Limousine 34 phòng,17:00,08-12-2025,06:30,08-12-2025,06:30,Bến xe Miền Đông - Quầy 28,VP Kon Tum
Nhat Tan,402.500 VND /khách,VIP - Limousine 34 phòng,17:00,08-12-2025,07:55,08-12-2025,07:55,Bến xe Miền Đông - Quầy 28,Bến xe Ngọc Hồi
Tay Nguyen,402.500 VND /khách,Ghế thường - Limousine 34 Giường,17:15,08-12-2025,05:35,08-12-2025,05:35,Bến Xe Miền Đông - Quầy vé 22,Bến xe Kon Tum
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,18:00,08-12-2025,05:30,08-12-2025,05:30,Bến xe Miền Đông - Quầy vé số 79,Văn Phòng Kon Tum
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,18:00,08-12-2025,06:30,08-12-2025,06:30,Bến xe Miền Đông - Quầy vé số 79,Bến xe Đắk Hà
Minh Quoc,460.000 VND /khách,Giường nằm - Limousine 34 Phòng Đơn,18:00,08-12-2025,07:30,08-12-2025,07:30,Bến xe Miền Đông - Quầy vé số 79,Bến xe Ngọc Hồi
Minh Quoc,632.500 VND /khách,Giuờng nằm - Limousine 24 Giường Đơn,18:30,08-12-2025,06:00,08-12-2025,06:00,Bến xe Miền Đông - Quầy vé số 79,Văn Phòng Kon Tum
Minh Quoc,632.500 VND /khách,Giuờng nằm - Limousine 24 Giường Đơn,18:30,08-12-2025,07:00,08-12-2025,07:00,Bến xe Miền Đông - Quầy vé số 79,Bến xe Đắk Hà
Minh Quoc,632.500 VND /khách,Giuờng nằm - Limousine 24 Giường Đơn,18:30,08-12-2025,08:00,08-12-2025,08:00,Bến xe Miền Đông - Quầy vé số 79,Bến xe Ngọc Hồi
