brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
SUN PhuQuoc AIRWAYS,1.580.353 VND/khách,07:45,09-12-2025,09:50,09-12-2025,2h 5m,HAN,PQC
VietJet Air,1.339.296 VND/khách,06:00,09-12-2025,08:05,09-12-2025,2h 5m,HAN,PQC
VietJet Air,1.339.296 VND/khách,15:30,09-12-2025,17:35,09-12-2025,2h 5m,HAN,PQC
VietJet Air,1.339.296 VND/khách,17:40,09-12-2025,19:45,09-12-2025,2h 5m,HAN,PQC
Vietnam Airlines,1.409.915 VND/khách,07:00,09-12-2025,09:15,09-12-2025,2h 15m,HAN,PQC
Vietnam Airlines,1.674.585 VND/khách,12:30,09-12-2025,14:40,09-12-2025,2h 10m,HAN,PQC
SUN PhuQuoc AIRWAYS,1.912.655 VND/khách,13:20,09-12-2025,15:25,09-12-2025,2h 5m,HAN,PQC
SUN PhuQuoc AIRWAYS,1.936.480 VND/khách,09:25,09-12-2025,11:30,09-12-2025,2h 5m,HAN,PQC
VietJet Air,2.133.446 VND/khách,12:25,09-12-2025,14:30,09-12-2025,2h 5m,HAN,PQC
Vietravel Airlines,2.237.500 VND/khách,10:50,09-12-2025,18:25,09-12-2025,7h 35m,HAN,PQC
