brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,1.777.150 VND/khách,22:40,10-12-2025,14:30,10-12-2025,15h 50m,SGN,VCA
VietJet Air,1.784.080 VND/khách,23:20,10-12-2025,14:30,10-12-2025,15h 10m,SGN,VCA
VietJet Air,1.784.080 VND/khách,21:25,10-12-2025,14:30,10-12-2025,17h 5m,SGN,VCA
VietJet Air,1.798.930 VND/khách,07:20,10-12-2025,14:30,10-12-2025,7h 10m,SGN,VCA
VietJet Air,1.798.930 VND/khách,06:30,10-12-2025,14:30,10-12-2025,8h 0m,SGN,VCA
"Bamboo Airways, VietJet Air",1.803.918 VND/khách,06:15,10-12-2025,14:30,10-12-2025,8h 15m,SGN,VCA
"Vietravel Airlines, VietJet Air",1.965.250 VND/khách,09:00,10-12-2025,14:30,10-12-2025,5h 30m,SGN,VCA
"Vietravel Airlines, VietJet Air",1.972.180 VND/khách,19:10,10-12-2025,14:30,10-12-2025,19h 20m,SGN,VCA
VietJet Air,2.004.850 VND/khách,18:15,10-12-2025,14:30,10-12-2025,20h 15m,SGN,VCA
VietJet Air,2.025.593 VND/khách,20:40,10-12-2025,14:30,10-12-2025,17h 50m,SGN,VCA
