brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Bamboo Airways,815.432 VND/khách,12:05,10-12-2025,13:00,10-12-2025,55m,SGN,DLI
VietJet Air,678.302 VND/khách,18:25,10-12-2025,19:30,10-12-2025,1h 5m,SGN,DLI
Vietnam Airlines,1.016.890 VND/khách,06:15,10-12-2025,07:05,10-12-2025,50m,SGN,DLI
Vietnam Airlines,1.035.795 VND/khách,07:00,10-12-2025,07:50,10-12-2025,50m,SGN,DLI
Vietnam Airlines,1.219.870 VND/khách,18:20,10-12-2025,19:20,10-12-2025,1h 0m,SGN,DLI
Vietnam Airlines,1.398.970 VND/khách,17:25,10-12-2025,18:15,10-12-2025,50m,SGN,DLI
Vietnam Airlines,1.566.130 VND/khách,10:25,10-12-2025,11:10,10-12-2025,45m,SGN,DLI
VietJet Air,2.956.521 VND/khách,22:40,10-12-2025,18:05,10-12-2025,19h 25m,SGN,DLI
VietJet Air,3.024.947 VND/khách,23:20,10-12-2025,07:40,10-12-2025,8h 20m,SGN,DLI
VietJet Air,3.024.947 VND/khách,23:20,10-12-2025,13:15,10-12-2025,13h 55m,SGN,DLI
