brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietravel Airlines,754.380 VND/khách,06:25,08-12-2025,07:45,08-12-2025,1h 20m,HAN,DAD
VietJet Air,671.220 VND/khách,20:15,08-12-2025,21:35,08-12-2025,1h 20m,HAN,DAD
VietJet Air,671.220 VND/khách,20:50,08-12-2025,22:10,08-12-2025,1h 20m,HAN,DAD
Bamboo Airways,809.980 VND/khách,16:15,08-12-2025,17:40,08-12-2025,1h 25m,HAN,DAD
Vietravel Airlines,859.320 VND/khách,16:50,08-12-2025,18:10,08-12-2025,1h 20m,HAN,DAD
VietJet Air,891.990 VND/khách,05:55,08-12-2025,07:10,08-12-2025,1h 15m,HAN,DAD
VietJet Air,891.990 VND/khách,09:30,08-12-2025,10:50,08-12-2025,1h 20m,HAN,DAD
VietJet Air,912.733 VND/khách,19:45,08-12-2025,21:05,08-12-2025,1h 20m,HAN,DAD
Vietnam Airlines,1.070.620 VND/khách,21:05,08-12-2025,22:20,08-12-2025,1h 15m,HAN,DAD
VietJet Air,1.126.620 VND/khách,14:20,08-12-2025,15:40,08-12-2025,1h 20m,HAN,DAD
