brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
VietJet Air,678.302 VND/khách,22:05,09-12-2025,23:05,09-12-2025,1h 0m,SGN,CXR
VietJet Air,678.302 VND/khách,17:00,09-12-2025,18:00,09-12-2025,1h 0m,SGN,CXR
VietJet Air,678.302 VND/khách,20:30,09-12-2025,21:30,09-12-2025,1h 0m,SGN,CXR
VietJet Air,678.302 VND/khách,20:50,09-12-2025,21:50,09-12-2025,1h 0m,SGN,CXR
VietJet Air,678.302 VND/khách,16:25,09-12-2025,17:35,09-12-2025,1h 10m,SGN,CXR
Vietnam Airlines,902.465 VND/khách,19:50,09-12-2025,20:55,09-12-2025,1h 5m,SGN,CXR
Vietnam Airlines,922.365 VND/khách,19:00,09-12-2025,20:10,09-12-2025,1h 10m,SGN,CXR
Vietnam Airlines,1.112.532 VND/khách,08:55,09-12-2025,09:55,09-12-2025,1h 0m,SGN,CXR
Vietnam Airlines,1.191.015 VND/khách,07:00,09-12-2025,08:05,09-12-2025,1h 5m,SGN,CXR
Vietnam Airlines,1.767.120 VND/khách,13:10,09-12-2025,14:15,09-12-2025,1h 5m,SGN,CXR
