brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Vietravel Airlines,868.230 VND/khách,19:10,09-12-2025,20:30,09-12-2025,1h 20m,SGN,DAD
VietJet Air,678.150 VND/khách,21:25,09-12-2025,22:45,09-12-2025,1h 20m,SGN,DAD
VietJet Air,678.150 VND/khách,23:00,09-12-2025,00:20,09-12-2025,1h 20m,SGN,DAD
VietJet Air,720.664 VND/khách,20:40,09-12-2025,22:00,09-12-2025,1h 20m,SGN,DAD
VietJet Air,902.880 VND/khách,07:20,09-12-2025,08:40,09-12-2025,1h 20m,SGN,DAD
VietJet Air,902.880 VND/khách,15:25,09-12-2025,16:45,09-12-2025,1h 20m,SGN,DAD
VietJet Air,902.880 VND/khách,18:15,09-12-2025,19:35,09-12-2025,1h 20m,SGN,DAD
Vietravel Airlines,968.220 VND/khách,09:00,09-12-2025,10:20,09-12-2025,1h 20m,SGN,DAD
Bamboo Airways,993.975 VND/khách,10:05,09-12-2025,11:30,09-12-2025,1h 25m,SGN,DAD
Bamboo Airways,994.000 VND/khách,06:15,09-12-2025,07:40,09-12-2025,1h 25m,SGN,DAD
