brand,price,number_of_seat,start_time,start_day,end_time,end_day,trip_time,take_place,destination
Minh Duc - Hue,632.500 VND /khách,Ghế thường - Limousine 32 phòng (WC),05:30,09-12-2025,01:30,09-12-2025,01:30,Bến Xe An Sương,Bến xe phía Nam Huế
Minh Duc - Hue,632.500 VND /khách,Ghế thường - Limousine 32 phòng (WC),06:30,09-12-2025,01:30,09-12-2025,01:30,Bến xe Miền Đông Mới,Bến xe phía Nam Huế
Phi Long - Mau Huong,632.500 VND /khách,Ghế thường - Giường nằm 40 chỗ,07:00,09-12-2025,03:35,09-12-2025,03:35,Bến xe Ngã Tư Ga,Bến xe phía Nam Huế
Phi Long - Mau Huong,632.500 VND /khách,Ghế thường - Giường nằm 40 chỗ,07:30,09-12-2025,03:35,09-12-2025,03:35,Bến xe Miền Đông Mới,Bến xe phía Nam Huế
Hanh Cafe,736.000 VND /khách,THƯỜNG - Giường nằm 41 chỗ,07:45,09-12-2025,11:00,09-12-2025,11:00,Văn phòng Quận 1,Thành phố Huế
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,08:30,09-12-2025,07:30,09-12-2025,07:30,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,09:00,09-12-2025,08:00,09-12-2025,08:00,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,11:30,09-12-2025,10:30,09-12-2025,10:30,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,13:00,09-12-2025,12:00,09-12-2025,12:00,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
Hoang Long - Do,920.000 VND /khách,Ghế thường - Giường nằm 42 chỗ,16:00,09-12-2025,15:00,09-12-2025,15:00,Bến Xe Miền Đông (Cổng số 4),Huế (Dọc Quốc Lộ 1A)
